min_recall,equal_opportunity,accuracy,precision,recall,demographic_parity,recall_group_ Amer-Indian-Eskimo,recall_group_ Asian-Pac-Islander,recall_group_ Black,recall_group_ Other,recall_group_ White,member,dataset,model_type,grouping
0.8,0.12307692307692308,0.854382597568778,0.6605263157894737,0.8053475935828877,0.2656430749815964,0.9230769230769231,0.8235294117647058,0.8241758241758241,0.8,0.8027251184834123,0,validation,,original
0.8076923076923077,0.11538461538461542,0.8451695457453615,0.6369294605809128,0.820855614973262,0.15641227686171505,0.8333333333333334,0.8076923076923077,0.8372093023255814,0.9230769230769231,0.819614711033275,1,validation,,original
0.8055229142185664,0.19447708578143363,0.8522072936660269,0.6549631556133507,0.8080213903743315,0.1771052463823548,0.9230769230769231,0.828125,0.8117647058823529,1.0,0.8055229142185664,2,validation,,original
0.8081947743467933,0.19180522565320668,0.8470889315419066,0.6431904963937208,0.8106951871657754,0.20784547691848757,0.8333333333333334,0.810126582278481,0.845360824742268,1.0,0.8081947743467933,3,validation,,original
0.8022366097704532,0.054906247372403905,0.8518044535449194,0.654917319408181,0.8048128342245989,0.2533044420368364,0.8333333333333334,0.8125,0.8404255319148937,0.8571428571428571,0.8022366097704532,4,validation,,original
0.6363636363636364,0.36363636363636365,0.7562448812448812,0.49502937189335744,0.9375267436884895,0.2661875807448183,0.6363636363636364,0.9146341463414634,0.9026548672566371,1.0,0.9415370108439416,0,test,individual,original
0.45454545454545453,0.5454545454545454,0.7961711711711712,0.5442455242966752,0.9105691056910569,0.25006998880179165,0.45454545454545453,0.8780487804878049,0.8584070796460177,1.0,0.9165487977369166,1,test,individual,original
0.6363636363636364,0.36363636363636365,0.8108108108108109,0.5657788539144472,0.8998716302952503,0.24755039193729003,0.6363636363636364,0.8536585365853658,0.8761061946902655,1.0,0.9038189533239038,2,test,individual,original
0.5454545454545454,0.3333761947623334,0.8214578214578214,0.5851277634223371,0.8720581942661532,0.22103129331812216,0.5454545454545454,0.8292682926829268,0.8141592920353983,0.8,0.8788307402168788,3,test,individual,original
0.8181818181818182,0.18181818181818177,0.5564086814086814,0.34951749095295537,0.991869918699187,0.2933199845112905,0.8181818181818182,0.975609756097561,0.9911504424778761,1.0,0.9933993399339934,4,test,individual,original
